3 11 14.0
2 28 16.0
23 25 17.0
27 51 18.0
29 46 18.0
43 60 18.0
8 30 19.0
21 51 19.0
31 63 19.0
0 59 20.0
33 54 20.0
14 26 21.0
27 41 21.0
0 23 22.0
13 44 22.0
39 46 22.0
25 28 23.0
15 34 24.0
18 63 24.0
21 30 24.0
24 40 24.0
47 62 24.0
9 27 25.0
30 38 25.0
29 59 26.0
34 48 27.0
44 56 27.0
12 16 28.0
42 53 29.0
17 57 30.0
1 32 31.0
4 7 31.0
44 50 31.0
6 26 32.0
7 55 32.0
38 63 32.0
9 22 34.0
4 58 35.0
37 43 36.0
53 54 36.0
15 52 37.0
48 62 37.0
45 49 38.0
24 56 40.0
12 18 42.0
48 61 42.0
1 22 43.0
35 37 44.0
11 13 45.0
13 28 45.0
3 32 46.0
11 52 46.0
35 42 48.0
43 57 49.0
5 55 52.0
32 36 56.0
6 17 60.0
35 39 72.0
20 26 76.0
10 49 78.0
7 38 86.0
49 35 91.0
5 19 96.0
