11 649 1.0
25 28 1.0
51 1032 1.0
54 1635 1.0
140 1630 1.0
343 912 1.0
360 1727 1.0
381 382 1.0
440 468 1.0
469 473 1.0
486 488 1.0
500 4197 1.0
558 1870 1.0
580 1165 1.0
655 2113 1.0
665 4669 1.0
676 677 1.0
801 2873 1.0
830 833 1.0
846 3880 1.0
861 3846 1.0
884 2762 1.0
884 4555 1.0
945 948 1.0
958 2277 1.0
1004 1009 1.0
1089 3978 1.0
1129 3258 1.0
1139 1141 1.0
1227 1896 1.0
1247 2199 1.0
1259 3034 1.0
1330 2494 1.0
1387 3519 1.0
1472 1474 1.0
1511 1515 1.0
1634 4833 1.0
1694 1729 1.0
1718 2461 1.0
1885 3580 1.0
1943 1945 1.0
2042 2563 1.0
2068 2559 1.0
2124 2132 1.0
2204 2215 1.0
2473 2476 1.0
2489 3150 1.0
2545 2546 1.0
2563 3737 1.0
2641 2642 1.0
2702 2704 1.0
2734 3217 1.0
2769 2771 1.0
2895 2897 1.0
2964 2965 1.0
3005 3521 1.0
3034 3561 1.0
3115 4149 1.0
3166 4466 1.0
3295 3433 1.0
3357 3359 1.0
3446 4739 1.0
3630 4140 1.0
3709 4220 1.0
3850 4735 1.0
3912 3913 1.0
4175 4176 1.0
4224 4245 1.0
4368 4369 1.0
4393 4892 1.0
4477 4972 1.0
4876 4878 1.0
4940 4941 1.0
3 2790 2.0
5 4391 2.0
7 4573 2.0
12 3850 2.0
26 3962 2.0
29 3645 2.0
41 2090 2.0
49 888 2.0
50 3429 2.0
51 3534 2.0
69 2452 2.0
75 983 2.0
75 2739 2.0
96 1623 2.0
98 2085 2.0
116 3671 2.0
117 121 2.0
121 123 2.0
134 1134 2.0
137 1021 2.0
145 975 2.0
160 277 2.0
193 204 2.0
194 891 2.0
195 2490 2.0
206 3786 2.0
209 2194 2.0
221 643 2.0
254 1898 2.0
278 279 2.0
293 4525 2.0
322 4869 2.0
331 2860 2.0
349 1216 2.0
365 3081 2.0
410 1430 2.0
411 413 2.0
416 420 2.0
434 2467 2.0
434 4210 2.0
440 2930 2.0
444 2857 2.0
458 2427 2.0
480 1297 2.0
486 1243 2.0
489 4858 2.0
498 992 2.0
523 1077 2.0
530 938 2.0
541 4256 2.0
552 577 2.0
562 1844 2.0
578 1700 2.0
595 2493 2.0
607 3288 2.0
609 3483 2.0
653 4511 2.0
657 2304 2.0
731 1168 2.0
753 2146 2.0
795 1586 2.0
824 3898 2.0
827 4677 2.0
831 3467 2.0
844 3780 2.0
860 1287 2.0
882 883 2.0
883 4393 2.0
924 3581 2.0
948 2266 2.0
955 4127 2.0
957 2598 2.0
971 3222 2.0
1002 3997 2.0
1007 1017 2.0
1034 2030 2.0
1043 2968 2.0
1096 1098 2.0
1115 4738 2.0
1119 4947 2.0
1127 4769 2.0
1157 4404 2.0
1163 4744 2.0
1167 4464 2.0
1169 1274 2.0
1177 2315 2.0
1178 4412 2.0
1179 1186 2.0
1189 2166 2.0
1191 4521 2.0
1193 4226 2.0
1205 2851 2.0
1259 1866 2.0
1260 1558 2.0
1266 3940 2.0
1279 2989 2.0
1292 3376 2.0
1296 2253 2.0
1303 4549 2.0
1314 2658 2.0
1338 3193 2.0
1366 2980 2.0
1375 2993 2.0
1431 4620 2.0
1439 2623 2.0
1446 2438 2.0
1446 3984 2.0
1449 2637 2.0
1465 2284 2.0
1483 2175 2.0
1503 3888 2.0
1505 1879 2.0
1510 1511 2.0
1514 2619 2.0
1536 3949 2.0
1538 4965 2.0
1539 3412 2.0
1557 2928 2.0
1557 4043 2.0
1562 1564 2.0
1577 2708 2.0
1607 3678 2.0
1678 4845 2.0
1703 3571 2.0
1725 2649 2.0
1749 1751 2.0
1757 3078 2.0
1786 4477 2.0
1813 1817 2.0
1817 3129 2.0
1817 3447 2.0
1834 4930 2.0
1861 2034 2.0
1871 2231 2.0
1884 1885 2.0
1916 3120 2.0
1927 3108 2.0
1932 1933 2.0
1949 2445 2.0
1977 3746 2.0
1977 4656 2.0
2027 2151 2.0
2036 2639 2.0
2043 2414 2.0
2064 2067 2.0
2081 4176 2.0
2085 4481 2.0
2089 3295 2.0
2115 2117 2.0
2132 2224 2.0
2179 3544 2.0
2187 3728 2.0
2192 3563 2.0
2212 3735 2.0
2232 2234 2.0
2247 2983 2.0
2281 2284 2.0
2287 3572 2.0
2294 3528 2.0
2341 4198 2.0
2353 2356 2.0
2373 4732 2.0
2389 3311 2.0
2405 3282 2.0
2485 3045 2.0
2494 4387 2.0
2510 4368 2.0
2652 3227 2.0
2699 2700 2.0
2761 4697 2.0
2768 4680 2.0
2787 3343 2.0
2789 2793 2.0
2832 3268 2.0
2844 4612 2.0
2846 3883 2.0
2880 4245 2.0
2896 2898 2.0
2925 3339 2.0
2947 2999 2.0
2957 3531 2.0
2959 3566 2.0
2992 3516 2.0
2992 4634 2.0
3005 4215 2.0
3011 4249 2.0
3016 4682 2.0
3019 3471 2.0
3070 3073 2.0
3085 3610 2.0
3102 4451 2.0
3109 4331 2.0
3136 4532 2.0
3141 4329 2.0
3175 3395 2.0
3187 4416 2.0
3191 4668 2.0
3193 4659 2.0
3267 4457 2.0
3344 4284 2.0
3347 4106 2.0
3390 4543 2.0
3392 3482 2.0
3398 4619 2.0
3504 4659 2.0
3585 3799 2.0
3606 4798 2.0
3611 4928 2.0
3632 3640 2.0
3737 4884 2.0
3748 4896 2.0
3766 4854 2.0
3792 4779 2.0
3856 3858 2.0
3887 4564 2.0
3889 3903 2.0
3988 4702 2.0
3993 4823 2.0
4005 4756 2.0
4008 4020 2.0
4055 4493 2.0
4234 4236 2.0
4270 4633 2.0
4349 4351 2.0
4351 4823 2.0
4455 4459 2.0
4575 4614 2.0
4747 4831 2.0
4937 4977 2.0
7 214 3.0
11 3681 3.0
19 2953 3.0
23 3646 3.0
26 2807 3.0
27 2699 3.0
38 1033 3.0
82 1147 3.0
83 4564 3.0
86 2789 3.0
87 902 3.0
89 4074 3.0
102 2847 3.0
107 2017 3.0
109 1570 3.0
121 4789 3.0
125 1966 3.0
127 1953 3.0
134 402 3.0
135 1621 3.0
141 1072 3.0
146 1119 3.0
154 461 3.0
157 2636 3.0
163 4021 3.0
169 4588 3.0
183 2034 3.0
184 4392 3.0
196 4411 3.0
202 3907 3.0
219 227 3.0
219 3298 3.0
232 3071 3.0
246 3218 3.0
251 3024 3.0
263 978 3.0
263 2202 3.0
283 4409 3.0
295 644 3.0
295 3413 3.0
300 2883 3.0
301 303 3.0
301 3517 3.0
305 2392 3.0
314 4480 3.0
332 4384 3.0
338 1478 3.0
338 3881 3.0
354 1241 3.0
355 2555 3.0
365 2699 3.0
367 4151 3.0
371 4855 3.0
376 3197 3.0
379 2812 3.0
386 3267 3.0
400 4867 3.0
406 2724 3.0
410 2463 3.0
411 2774 3.0
424 3297 3.0
432 2226 3.0
444 1161 3.0
444 3234 3.0
463 4449 3.0
466 2164 3.0
469 977 3.0
472 657 3.0
474 3124 3.0
475 2957 3.0
484 4164 3.0
484 4976 3.0
498 938 3.0
508 2695 3.0
533 4067 3.0
555 2447 3.0
