250_103_200;251_103_200;190_237_174;259_273_199;118_159_146;135_170_146;255_110_201;0_166_176;249_101_199;45_154_277;250_266_247;253_107_201;199_231_163;259_280_201;113_299_148;253_106_200;171_248_201;262_284_201;136_217_152;236_270_211;151_204_198;256_276_200;233_81_198;259_279_200;250_267_199;277_281_174;260_281_201;250_103_199;258_274_200;137_176_148;257_111_201;12_206_269;16_207_276;83_216_75;237_271_282;136_171_146;14_205_268;82_206_137;134_137_200;248_103_195;197_239_142;252_104_200
162_255_0;111_255_0;0_255_64;0_0_255;132_255_0;0_255_187;170_255_0;255_166_0;81_255_0;255_72_0;0_255_102;51_255_0;0_255_166;0_255_64;255_72_0;81_255_0;17_255_0;0_255_34;153_255_0;38_255_0;204_255_0;0_0_255;0_255_255;0_255_255;0_255_187;0_0_255;0_255_72;59_255_0;0_0_255;204_255_0;0_255_42;255_0_0;255_72_0;255_43_0;0_255_64;81_255_0;255_166_0;204_255_0;234_255_0;140_255_0;17_255_0;0_255_166
6.42_0_1;6.11_0_1;4.96_0_1;2_0_1;6.22_0_1;4.12_0_1;6.52_0_1;7.6_0_1;5.9_0.48_3;8.21_0_1;4.68_0_1;5.7_0_1;4.3_0_1;4.93_0.26_3;8.22_0_1;5.86_0.78_2;5.46_0_1;5.15_0_1;6.37_0_1;5.64_0_1;6.72_0_1;2_0_1;3.7_0_1;3.7_0_1;4.15_0_1;2_0_1;4.85_0_1;5.72_0_1;2_0_1;6.72_0_1;5.05_0_1;8.7_0_1;8.21_0_1;8.4_0_1;4.92_0_1;5.89_0_1;7.62_0_1;6.66_0_1;6.89_0_1;6.32_0_1;5.46_0_1;4.28_0_1
14-76;19-66;33-47;44-51;18-84;41-89;12-70;7-88;25-67_13-69_21-68;4-87;36-42;23-7;38-48;37-39_30-34_31-35;3-81;15-8_28-63;27-45;29-5;16-75;24-6;9-80;45-37;43-78;42-41;40-36;46-38;35-33;22-65;47-52;10-79;32-93;1-9;5-83;2-82;34-40;20-91;6-92;11-85;8-86;17-77;26-46;39-64
14-76;19-66;33-47;44-51;18-84;41-89;12-70;7-88;13-69;4-87;36-42;23-7;38-48;30-34;3-81;28-63;27-45;29-5;16-75;24-6;9-80;45-37;43-78;42-41;40-36;46-38;35-33;22-65;47-52;10-79;32-93;1-9;5-83;2-82;34-40;20-91;6-92;11-85;8-86;17-77;26-46;39-64
